idorgao,nomeorgao,totalservidores
26257,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS,1841
26256,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA,1572
26201,COLEGIO PEDRO II,2345
26443,EMPRESA BRAS. DE SERVICOS HOSPITALARES,25750
26298,FUND COORD APERF PESSOAL NIVEL SUPERIOR,409
26350,FUND. UNIV FEDERAL DA GRANDE DOURADOS,1585
26285,FUND. UNIVERSIDADE DE SAO JOAO DEL REI,1493
26268,FUND. UNIVERSIDADE FEDERAL DE RONDONIA,1301
26284,FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE,1077
26230,FUND.UNIV.FED.DO VALE DO SAO FRANCISCO,1018
26292,FUNDACAO JOAQUIM NABUCO,286
26277,FUNDACAO UNIV. FEDERAL DE OURO PRETO,1893
26274,FUNDACAO UNIV. FEDERAL DE UBERLANDIA,5552
26271,FUNDACAO UNIVERSIDADE DE BRASILIA,6264
26270,FUNDACAO UNIVERSIDADE DO AMAZONAS,3722
26272,FUNDACAO UNIVERSIDADE DO MARANHAO,3986
26251,FUNDACAO UNIVERSIDADE FED. DO TOCANTINS,2045
26278,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,2943
26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,3371
26352,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,1483
26266,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,1864
26286,FUNDACAO UNVERSIDADE FEDERAL DO AMAPA,1245
26106,FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO,541
99013,HOSPITAL DE CLINICAS DE PORTO ALEGRE,7070
26107,INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS,426
26105,INSTITUTO BENJAMIN CONSTANT,270
26410,INSTITUTO FED. DO NORTE DE MINAS GERAIS,1379
26411,INSTITUTO FED.DO SUDESTE DE MINAS GERAIS,1307
26404,INSTITUTO FEDERAL BAIANO,1543
26422,INSTITUTO FEDERAL CATARINENSE,1872
26427,INSTITUTO FEDERAL DA BAHIA,2654
26417,INSTITUTO FEDERAL DA PARAIBA,2389
26402,INSTITUTO FEDERAL DE ALAGOAS,1697
